State,Lower_Salary,Upper_Salary
CA,92.42763157894737,154.59868421052633
DC,88.63636363636364,131.72727272727272
IL,88.35,144.975
MA,78.68932038834951,136.3009708737864
MI,77.0,123.5
NJ,76.82352941176471,132.2941176470588
RI,74.0,126.0
NY,72.125,125.18055555555556
WA,71.04761904761905,115.33333333333333
VA,70.02439024390245,121.21951219512195
NC,69.04761904761905,127.85714285714286
UT,68.7,119.6
TX,68.35714285714286,117.0
MD,68.31428571428572,126.4
OR,68.25,116.0
PA,67.0909090909091,120.63636363636364
KY,66.33333333333333,127.66666666666667
AZ,65.77777777777777,105.55555555555556
CO,64.27272727272727,108.0909090909091
IN,64.0,116.6
TN,63.15384615384615,115.38461538461539
OH,62.857142857142854,112.28571428571429
KS,61.0,113.0
FL,60.375,94.875
MN,60.0,111.0
MO,59.666666666666664,109.77777777777777
CT,57.6,84.6
IA,56.4,101.4
GA,55.666666666666664,105.66666666666667
NM,55.0,93.66666666666667
WI,54.4,92.2
DE,43.0,70.0
AL,40.875,75.0
LA,40.25,75.0
ID,39.5,73.0
NE,39.25,69.25
SC,39.0,82.0
